Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
113,7 April 202116:34:18,,,Starlink23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1058.7,,,"23rd operational launch of Starlink satellites, bringing the total to 1,385 launchedStarlink satellites(including prototype). This launch featured the second fastest booster turnaround time at 27 days and 8 hours (after Starlink 18 with B1060.5, which was 4 hours faster)."
114,23 April 202109:49:02,,,Crew-2(Crew Dragon C206.2Endeavour♺ ),"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1061.2,,,"Second operational flight of Crew Dragon for Commercial Crew Program. Transported NASA astronautsShane KimbroughandMegan McArthur,JAXAAstronautAkihiko HoshideandESAastronautThomas Pesquetto the ISS.The four astronauts will spend 6 months aboard the ISS. Beginning with the Crew-2 mission, NASA has modified the contract to allow NASA astronauts to use flight-proven Dragon capsules and booster.Thus SpaceX reflew the Dragon used on Demo-2 and used Booster B1061-2 which had been used to launchCrew-1in November 2020."
115,29 April 202103:44:30,,,Starlink24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.7,,,"24th operational launch of Starlink satellites, bringing the total to 1,434 Starlink satellites still in orbit. This launch also paid tribute toApollo 11crewMichael Collins, who died hours before the launch."
116,4 May 202119:01:07,,,Starlink25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1049.9,,,"25th operational launch of Starlink satellites, bringing the total to 1,494 Starlink satellites still in orbit, second time a booster flew for the ninth time."
117,9 May 202106:42:45,,,Starlink27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1051.10,,,This was the first time a booster flew 10 times. Brought the total number of operational Starlink satellites in the first shell to approximately 1516 out of a planned 1584.
118,15 May 202122:56,,,Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130,"~14,000 kg (31,000 lb)",LEO,SpaceXCapella SpaceandTyvak,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1058.8,,,"Rideshare launch with a targeted orbit at 569x582, significantly higher than typical Starlink launches, to allow for needs of the rideshare payloads.Fairing ""wet recovery"" done by contracted recovery vesselShelia Bordelonfor the last time."
119,26 May 202118:59:35,,,Starlink28 v1.0 (60 Satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1063.2,,,"Will likely complete the first shell of the Starlink network located at 550 km altitude and containing 1584 satellites.It was 40th launch a fairing was reused, with one half being used for the 5th time (first fairing to do so) and the other for a 3rd time.This launch marks SpaceX's 100th successful launch in a row without in-flight failure since December 2015."
120,3 June 202117:29:17,,,SpaceX CRS-22(Dragon C209.1),"3,328 kg (7,337 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5B1067.1,,,"Second of a minimum of six new cargo missions under theCRS-2 contract, which NASA awarded SpaceX in 2015. Mission was flown with an uncrewed Dragon 2 capsule,which carried solar panels, catalytic reactor for the station's life support system, an emergency air supply system, Kurs remote control unit, and a Potable Water Dispense (PWD) filter. Also carried were the RamSat cubesat as payload forELaNa 36,the SOAR cubesat for theUniversity of Manchesterand the first Mauritian satellite MIR-SAT1to be launched from the station later. This was the last mission theOf Course I Still Love Youdroneship supported on the east coast,since SpaceX began launching Starlink satellites from the West Coast starting in July, which requires a droneship landing.OCISLYwas replaced byA Shortfall Of Gravitasdroneship later that summer."
121,6 June 202104:26,,,SXM-8,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1061.3,,,"A large, high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS) contracted together with SXM-7 to replace the aging XM-4 satellite and allow broadcast to radios without the need for large dish-type antennas on the ground."
122,17 June 202116:09:35,,,USA-319/GPS III-05(Neil Armstrong),"4,331 kg (9,548 lb)",MEO,USSF,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1062.2,,,"Manufacturing contract awarded February 2013.In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.This is the first reused booster launch for a 'national security' mission.Fairing ""wet recovery"" was attempted by contracted recovery vesselHos Briarwoodfor the first time. Both fairing halves were retrieved from water."
123,30 June 202119:31,,,Transporter-2: (88 payloads Smallsat Rideshare),Unknown[c],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5♺B1060.8,,,"A total of 88 payloads including prototypeStarlinkv1.5 satellites made for testing optical laser inter-satellite links(3x), Polar Vigilance (4x), Exolaunch YAM-2 & 3,Satellogic,Capella-5HawkEye Cluster 3 (multiple sats),Spaceflight Industries(multiple sats including on two space tugsSherpa-FX2 Sherpa-LTE1).LINCS 1 and 2 were reported to be tumbling uncontrolled due to ""an issue with the launch vehicle""."
124,29 August 202107:14:49,,,SpaceX CRS-23(Dragon C208.2♺ ),"~2,200 kg (4,900 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1061.4,,,"Third of six new cargo missions NASA awarded in 2015 to SpaceX under theCRS-2 contractto be flown after the initial 20 missions of phase 1 were completed in 2020.Includes FBCE, SoFIE. First time a booster landed on SpaceX's fourth droneship,A Shortfall Of Gravitas(ASOG),marking the first use when SpaceX has three droneships in operation."
125,14 September 202103:55:50,,,"StarlinkGroup 2-1 (v1.5 L1, 51 satellites)","~13,260 kg (29,230 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5♺B1049.10,,,"First launch of Starlink satellites fromVandenberg Space Force Base, and first West coast launch in 10 months. The 70-degree inclination launch is the first Starlink launch into a high-inclination, non-SSOorbit.The satellites were the upgraded and operational 1.5 version that featured ""laser inter-satellite links, which are needed for high latitudes & mid ocean coverage"".It was the second booster to make a tenth flight and landing."
126,16 September 202100:02:56,,,Inspiration4(Crew Dragon C207.2Resilience♺ ),"~12,519 kg (27,600 lb)",LEO,Jared Isaacman[note 1],Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1062.3,,,"SpaceX signed in February 2021, its first all-civilian flight for a crewed spacecraft withJared Isaacman(Leadership), founder and CEO of Shift4 Payments, who commands and pilots the mission, and who donated the three other seats in the Crew Dragon vehicle's launch to LEO. The first of these three seats (Generosity) was won byChristopher Sembroskiin a lottery, who donated toSt. Jude Children's Research Hospital, the second seat (Hope) was awarded toHayley Arceneaux, an ambassador associated with that hospital, and the third seat (Prosperity) was awarded toSian Proctor, the winner of a contest between entrepreneurs who use Shift4Shop. The seats were awarded on 30 March 2021.The mission reached a circular orbit of about 585 km and lasted about three days. The docking adapter of Crew DragonResiliencewas replaced by a dome window."
127,11 November 202102:03:31,,,Crew-3(Crew Dragon C210.1Endurance),"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1067.2,,,"SpaceX's third operational Crew Dragon flight carried NASA astronautsThomas Marshburn,Kayla BarronandRaja Charias well as German ESA astronautMatthias Maurer.It also carried up to 100 kg (220 lb) of cargo to the ISS."
128,13 November 202112:19,,,StarlinkGroup 4-1 (53 satellites),"~15,635 kg (34,469 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1058.9,,,"First East Coast Starlink launch after the v1.0 L28 launch which completed the first shell of the Starlink network located at 540 km altitude. Fairing ""wet recovery"" was attempted by SpaceX multipurpose ship, Bob for the first time, and both fairing halves were retrieved from water."
129,24 November 202106:21,,,Double Asteroid Redirection Test (DART),"624 kg (1,376 lb)",Heliocentric,NASA(LSP),Success,Success(drone ship),"VSFB,SLC-4E",F9 B5♺B1063.3,,,Dart mission will measure the kinetic effects of crashing an impactor into the surface of the moon of65803 Didymosasteroid. It is the first mission aiming to demonstrate asteroid redirect capabilityand the first NASA scientific mission using a previously flown booster.The launch contract was awarded to SpaceX for $69 million.
130,2 December 202123:12,,,StarlinkGroup 4-3 (48 satellites)SXRS-2: BlackSky Global (2 sats),"~14,500 kg (32,000 lb)",LEO,"SpaceXSpaceflight, Inc.(BlackSky Global)",Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.9,,,"This mission carried 48 Starlink satellitesand two BlackSky Gen-2 satellites (numbered 12 and 13)as rideshare payloads. The BlackSky satellites were released prior to the Starlink deployment, to a 435x425 km orbit at 53.2° inclination."
131,9 December 202106:00,,,Imaging X-ray Polarimetry Explorer(IXPE),325 kg (717 lb),LEO,NASA(LSP),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1061.5,,,"SMEX14 mission with three identical NASA telescopes on a single spacecraft, designed to measure X-rays. The launch contract was awarded to SpaceX for US$50.3 million,and is the smallest dedicated payload ever launched by Falcon 9 launch vehicle.However, the required exact equatorial orbit required anorbital plane changethat meant an approximately 30% of Falcon 9's maximum theoretical performance for such an orbital profile (1.5-2 tons)."
132,18 December 202112:41,,,StarlinkGroup 4-4(52 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",F9 B5♺B1051.11,,,First West coast and third overall 53.2-degree inclination Starlink launch. First time a Falcon 9 first stage booster flew for an eleventh time.
133,19 December 202103:58,,,Türksat 5B,"4,500 kg (9,900 lb)",GTO,Türksat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1067.3,,,"The first GTO satellite partially built in Turkey, the 4,500 kg (9,900 lb) satellite is intended to be placed at 42.0° east.By launching at the opening of the Turksat-5B window, SpaceX set a new record for the shortest time between two Falcon 9 launches at 15 hours and 17 minutes. The previous record time was 44 hours and 17 minutes, set between the Starlink Group 2-1 andInspiration4missions."
134,21 December 202110:06,,,SpaceX CRS-24(Dragon C209.2♺ ),"2,989 kg (6,590 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success[d](drone ship),"KSC,LC-39A",F9 B5B1069.1,,,"Fourth of six new cargo missions NASA awarded in 2015 to SpaceX under theCRS-2 contractto be flown after the initial 20 missions of phase 1 were completed in 2020.First time SpaceX launched 5 rockets within the same calendar month. TheELaNa38 mission, consisting of 4 cubesats, launched on this flight.SpaceX achieved the feat of 100 successful orbital rocket booster landings in this mission, coinciding with the 6th anniversary of its first booster landing. The rough seas led to the Octograbber robot not being able to secure the booster to the deck, leading to both the booster, droneship and the Octagrabber robot being heavily damaged in transit."
135,6 January 202221:49,,,,"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1062.4,StarlinkGroup 4-5(49 satellites),"After the weather-related damage to the landed booster in the previous launch, SpaceX changed the Starlink launch trajectory from Northeast to Southeast intending to increase odds of good booster and fairing recovery conditions in the winter months, on a course just North of the Bahamas via a plane change maneuver to line up with the proper orbital plane for the Starlink satellites.This was the first rocket launch of 2022."
136,13 January 202215:25:38,,,,Unknown[e],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1058.10,Transporter-3: (105 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. A total of 105 payloads including:Planet LabsSuperDoves (×44),and some of the customer payloads on SpaceFlight'sSXRS-6mission.In addition, four secret satellites, likely test or operational satellites built by SpaceX based on the Starshield bus (based on Starlink Block v1.5 or v2.0 technology),were also deployed for the US army. Their purpose has not been revealed, but is likely either technical demonstration, communications, earth observation or signals intelligence.In 2020, SpaceX had won a US$149 million contract for developing and launching missile tracking satellites based on the Starlink architecture."
137,19 January 202202:02:40,,,,"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1060.10,StarlinkGroup 4-6(49 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. Second Starlink launch where SpaceX has significantly customized a Starlink launch trajectory to optimize for booster recovery after Starlink Group 4–5.
138,31 January 202223:11,,,,"2,205 kg (4,861 lb)",SSO,ASI,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1052.3,CSG-2,"SecondCOSMO-SkyMed 2nd-generationsatellite. Originally scheduled to launch in 2021, on an ArianespaceVega-Claunch vehicle, resulting delays caused by the pandemic and two Vega launch failures led to ASI purchasing a Falcon 9 launch contract in September 2021, for the 2.2-ton satellite. First launch of a converted Falcon 9 that was previously used as a FH side booster."
139,2 February 202220:27,,,,Classified,SSO,NRO,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5B1071.1,NROL-87,Classified payload. The contract requirements for this launch called for a 512 kmSun-synchronous orbitat 97.4° inclination.
140,3 February 202218:13,,,,"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1061.6,StarlinkGroup 4-7(49 satellites),"A fairing half on this mission was flown and recovered for a record 6th time. AG2-ratedgeomagnetic stormon 4 February significantly increased the atmospheric density at the initial deployment orbit, resulting in38 satellites reenteringover the following eight days."
141,21 February 202214:44,,,,"~13,600 kg (30,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.11,StarlinkGroup 4-8 (46 satellites),"Mission was the first Group 4 mission to feature 2 upper stage burns like v1.0 Starlink launches, with deployment of the 46 satellites approximately 1 hour after lift-off into a higher circular orbit. This is aimed at reducing the risk of high drag that caused38 of the Group 4-7 satellitesto fail reaching their intended orbits, and instead, reenter shortly after launch."
142,25 February 202217:12,,,,"~14,750 kg (32,520 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.4,StarlinkGroup 4-11 (50 satellites),A West Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
143,3 March 202214:25,,,,"~13,900 kg (30,600 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1060.11,StarlinkGroup 4-9 (47 satellites),"An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. First time one of SpaceX multipurpose ships, Bob, retrieved both fairing halves and towed the droneship and the Falcon booster on its return journey to Port Canaveral."
144,9 March 202213:45,,,,"~14,160 kg (31,220 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1052.4,StarlinkGroup 4-10(48 satellites),This was the 40th Starlink launch. Starlink 3680 (or Starlink 2022-025P) launched in this stack has maneuvered and moved to Shell 1 of starlink satellites. Possibly some other satellites in this stack will also joining the Shell 1 starlinks in near future.
145,19 March 202204:42,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1051.12,StarlinkGroup 4-12 (53 satellites),"First time a Falcon 9 first-stage booster flew and landed for the twelfth time. This was, at the time, the heaviest Falcon 9 payload to LEO enabled by optimizations to the launch setup and flight profile,this record was clearly beaten in August 2022."
146,1 April 202216:24,,,,Unknown[e],SSO,Various,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1061.7,Transporter-4: (40 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. The heaviest payload aboard wasEnvironmental Mapping and Analysis Program(EnMAP) German satellite. Other payloads included D-Orbit ION, Hawk-6A/6B/6C, CNCE (2), Heron Mk II, GNOMES-3, Kilimanjaro-1."
147,8 April 202215:17:11,,,,"~13,000 kg (29,000 lb)",LEO(ISS),Axiom Space,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1062.5,Axiom-1(Crew Dragon C206.3Endeavour♺ ),"Announced in March 2020, the flight is the first fully private flight to the ISS. Crew Dragon is commanded by Axiom professional astronautMichael López-Alegría.Larry Connoris the pilot, andMark PathyandEytan Stibbeare mission specialists."
148,17 April 202213:13:12,,,,Classified,LEO,NRO,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1071.2,NROL-85(Intruder 13A (NOSS-3 9A) and Intruder 13B (NOSS-3 9B)),"Classified mission awarded to SpaceX in February 2019.The contract requirements for this launch called for a 1220 km × 1024 km orbit at 63.5° inclination, which corresponds to aNaval Reconnaissance (Intruder)mission.With only a year before the launch, the launch site was switched from Florida to California at no extra cost in exchange for reusing a previously flown booster."
149,21 April 202217:51,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1060.12,Starlink Group 4-14(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
150,27 April 202207:52,,,,"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1067.4,Crew-4(Crew Dragon C212.1Freedom),"FourthCrew DragonCCP mission. Carried four astronauts and 100 kg (220 lb) of cargo to the ISS and function as a lifeboat to evacuate astronauts from ISS in case of an emergency.NASA'sKjell Lindgren,Bob Hines, andJessica Watkinsas well as ESA'sSamantha Cristoforettiassigned to fly this mission."
151,29 April 202221:27,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.6,Starlink Group 4-16(53 satellites),"An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. This mission set four SpaceX turnaround records: Booster turnaround at 21 days (previously 27 days), pad turnaround at 8 days, Just Read the Instructions departed just 19 hours after arriving, and it was the first time there were 6 launches in a single calendar month."
152,6 May 202209:46,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1058.12,Starlink Group 4-17(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
153,13 May 202222:07,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.5,Starlink Group 4-13(53 satellites),A West Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
154,14 May 202220:40,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5B1073.1,Starlink Group 4-15(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. First Starlink launch on a new first-stage booster.
155,18 May 202210:59,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1052.5,Starlink Group 4-18(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
156,25 May 202218:35,,,,Unknown[e],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1061.8,Transporter-5: (59 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission launching 59 satellites to Sun-synchronous orbit. Mission included 3 different payload dispensers by Momentus (Vigoridespace tug), Spaceflight, and D-Orbit, and payloads from 11 countries by Exolaunch."
157,8 June 202221:03,,,,"~4,100 kg (9,000 lb)",GTO,Nilesat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.7,Nilesat-301,"Built byThales Alenia Space, the Egyptian satellite will be stationed at 7.0° west.SpaceX successfully executed the furthest downrange landing of a Falcon 9 booster on this mission by landing 687 km (427 mi) away from the launch site."
158,17 June 202216:09,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1060.13,Starlink Group 4-19(53 satellites),"An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. This mission marked SpaceX's 100th reuse of a booster, 50th consecutive landing, 1st booster to fly for a 13th time, and 50th SpaceX launch from LC-39A."
159,18 June 202214:19,,,,"~4,000 kg (8,800 lb)",SSO,German Intelligence Service,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1071.3,SARah 1,Airbus-builtphased-array-antennasatellite intended to upgrade the GermanSAR-Lupesurveillance satellites.
160,19 June 202204:27,,,,"~700 kg (1,500 lb)(excluding secret payloads)",LEO,GlobalstarUnknown US Government Agency,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1061.9,Globalstar-2 M087 (FM15)USA 328-331,"Mission launched the firstGlobalstarsatellite since 2013, a spare satellite that was still waiting on ground for its launch.The mission was not known by the public until early June, when aFCCfiling appeared.The low mass of the satellite, together with the lack of return to the launch site and the use of an unconventional payload dispenser, led to speculations about there being a second, undisclosed governmental payload.After launch, fourUSA designated satelliteswere cataloged, confirming the presence of four secretUS Governmentpayloads that were released between second-stage cutoff 1 and second-stage startup 2.Likely the satellites were test or operational satellites built by SpaceX based on the Starshield bus (based on Starlink Block v1.5 or v2.0 technology), based on the deployment structure seen in the launch video.Their purpose has not been revealed, but is likely either technical demonstration, communications, earth observation or signals intelligence. SpaceX set a new record for the shortest time between two Falcon 9 launches at 14 hours and 8 minutes. The previous record time was 15 hours and 17 minutes, set between the Starlink Group 4-4 andTürksat 5Bmissions."
161,29 June 202221:04,,,,"~3,500 kg (7,700 lb)",GTO,SES,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.2,SES-22,"Following the award for the launch of SES-18 and SES-19, SpaceX was awarded another launch contract for SES-22. Built byThales Alenia Space, theC-band-only satellite will be stationed at 135° west and is expected to start operations by early August 2022."
162,7 July 202213:11,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.13,Starlink Group 4-21(53 satellites),An East Coast Starlink network launch to a 53.2° inclination orbit at 540 km altitude.
163,11 July 202201:39,,,,"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.6,Starlink Group 3-1(46 satellites),"A West Coast Starlink network launch to a 97.6° inclination orbit at 560 km altitude, first launch of group 3."
164,15 July 202200:44:22,,,,"2,668 kg (5,881 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1067.5,SpaceX CRS-25(Dragon C208.3♺ ),"Fifth of the six ISS cargo missions awarded in 2015 under theCRS-2 contract, and carriedEarth Surface Mineral Dust Source Investigation(EMIT) external payload."
165,17 July 202214:20,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1051.13,Starlink Group 4-22(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. It was the first time SpaceX launched an 8th rocket within 30 days.
166,22 July 202217:39,,,,"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.4,Starlink Group 3-2(46 satellites),A West Coast Starlink network launch to a 560 kmSun-synchronous orbitat an inclination of 97.6°.
167,24 July 202213:38,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1062.8,Starlink Group 4-25(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
168,4 August 202223:08,,,,"~679 kg (1,497 lb)",Ballistic lunar transfer (BLT),KARI,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1052.6,Danuri (Korea Pathfinder Lunar Orbiter),"""Launch Your Photo into Deep Space Orbit"" mosaic(hosted)"
169,10 August 202202:14,,,,"~16,000 kg (35,000 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1073.3,Starlink Group 4-26(52 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
170,12 August 202221:40:20,,,,"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.10,Starlink Group 3-3(46 satellites),A West Coast Starlink network launch to a 560 kmSun-synchronous orbitat an inclination of 97.6°.
171,19 August 202219:21:20,,,,"~16,250 kg (35,830 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.9,Starlink Group 4-27(53 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
172,28 August 202203:41,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.2,Starlink Group 4-23(54 satellites),"This was the heaviest payload Falcon 9 had launched until this was beaten in January 2023.The launch carried an East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. This flight, Group 4-23, was moved from 39A to 40 to deconflict withArtemis Ioperations at 39B. Booster B1069.2 was repaired after suffering damage to all 9 engines upon its initial landing."
173,31 August 202205:40,,,,"~14,200 kg (31,300 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.7,Starlink Group 3-4(46 satellites),A West Coast Starlink network launch to a 560 kmSun-synchronous orbitat an inclination of 97.6°.
174,5 September 202202:09,,,,"~16,000 kg (35,000 lb)",LEO,SpaceXSpaceflight Industries,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1052.7,Starlink Group 4-20(51 satellites)Sherpa-LTC2,"An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. Sherpa-LTC2 space tug's sole hosted payload was Boeing's Varuna Technology Demonstration Mission, a pathfinder for a planned constellation of broadband satellites. Initial orbit of Sherpa LTC-2 is same as that of Starlink but later it will fire its thrusters to reach a 54° inclinationlow Earth orbitlocated at 1060 km altitude."
175,11 September 202201:20,,,,"~11,938 kg (26,319 lb)",LEO,SpaceXAST SpaceMobile,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1058.14,Starlink Group 4-2(34 satellites)BlueWalker-3,"Bluewalker-3 is a ridesharemission launched to 513 km altitude 53° inclination.B1058became the first booster to be launched and recovered fourteen times. In addition to this, the 2nd stage first executed two burns to deploy the Bluewalker 3, followed by executing two more burns to deploy the Starlinks to a 330 km altitude 53.2° inclination orbit, concluding with deorbit burn, which made it one of the most complex F9 missions up to date."
176,19 September 202200:18,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.6,Starlink Group 4-34(54 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
177,24 September 202223:32,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.4,Starlink Group 4-35(52 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
178,5 October 202216:00,,,,"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5B1077.1,Crew-5(Crew Dragon C210.2Endurance♺ ),"FifthUSCVlaunches out of NASA award of sixCrew Dragonmission, to carry four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.NASA AstronautsNicole Mann,Josh Cassada, JAXA AstronautKoichi Wakata, and Roscosmos CosmonautAnna Kikinawill fly on this mission.This will be the first Russian Cosmonaut to fly on a US Commercial Crew Vehicle as part of a NASA-Roscosmos seat barter agreement."
